['american_football.football_coach', '?type', 'people.person']
['american_football.football_conference', '?type', 'sports.sports_league']
['american_football.football_player', 'american_football.football_player.games-american_football.player_game_statistics.team', 'sports.sports_team']
['american_football.football_player', 'american_football.football_player.games-american_football.player_game_statistics.team', 'american_football.football_team']
['american_football.football_player', 'american_football.football_player.games-american_football.player_game_statistics.team', 'sports.professional_sports_team']
['american_football.football_player', 'american_football.football_player.position_s', 'sports.sports_position']
['american_football.football_player', '?type', 'sports.pro_athlete']
['american_football.football_team', '?type', 'sports.sports_team']
['american_football.football_team', 'sports.sports_team.roster-sports.sports_team_roster.player', 'american_football.football_player']
['amusement_parks.park', '?type', 'location.location']
['architecture.architectural_structure_owner', '?type', 'organization.organization']
['architecture.building', '?type', 'architecture.structure']
['architecture.structure', '?type', 'location.location']
['architecture.structure', 'sports.sports_facility.home_venue_for-sports.team_venue_relationship.team', 'sports.sports_team']
['architecture.structure', 'sports.sports_facility.teams', 'sports.sports_team']
['architecture.venue', '?type', 'architecture.structure']
['architecture.venue', '?type', 'sports.sports_facility']
['architecture.venue', 'sports.sports_facility.home_venue_for-sports.team_venue_relationship.team', 'sports.sports_team']
['architecture.venue', 'sports.sports_facility.teams', 'sports.sports_team']
['automotive.company', '?type', 'business.business_operation']
['aviation.aircraft_owner', 'aviation.airline.hubs', 'aviation.airport']
['aviation.aircraft_owner', '?type', 'business.business_operation']
['aviation.airline', 'aviation.airline.hubs', 'aviation.airport']
['aviation.airline', '?type', 'organization.organization']
['aviation.airline', '?type', 'aviation.aircraft_owner']
['aviation.airport', 'aviation.airport.serves', 'location.location']
['aviation.airport', 'aviation.airport.serves', 'location.citytown']
['aviation.airport', 'aviation.airport.serves', 'location.administrative_division']
['aviation.airport', 'aviation.airport.serves', 'location.capital_of_administrative_division']
['aviation.airport', 'aviation.airport.serves', 'location.us_county']
['aviation.airport', 'aviation.airport.serves', 'location.hud_county_place']
['aviation.airport', '?type', 'location.location']
['award.award_category', 'award.award_category.category_of', 'award.award']
['award.award_category', 'award.award_category.nominees-award.award_nomination.award_nominee', 'people.person']
['award.award_category', 'award.award_category.nominees-award.award_nomination.award_nominee', 'film.actor']
['award.award_category', 'award.award_category.nominees-award.award_nomination.award_nominee', 'tv.tv_actor']
['award.award_category', 'award.award_category.nominees-award.award_nomination.award_nominee', 'music.artist']
['award.award_category', 'award.award_category.nominees-award.award_nomination.award_nominee', 'theater.theater_actor']
['award.award_category', 'award.award_category.nominees-award.award_nomination.award_nominee', 'broadcast.artist']
